0xef701d5389ae74503d633396c4d654eabedc9d78,0x: Multi Asset Proxy,accounts,0x Ecosystem,0 Ether,4
0x606af0bd4501855914b50e2672c5926b896737ef,0x: MultiSig 1,accounts,0x Ecosystem,0.09859459 Ether,762
0x01d9f4d104668cdc0b6d13c45dff5e15d58d8f28,0x: MultiSig 2,accounts,0x Ecosystem,0 Ether,4
0xa09329c6003c9a5402102e226417738ee22cf1f2,0x: Order Validator,accounts,0x Ecosystem,0 Ether,1
0xdb63d40c033d35e79cdbb21430f0fe10e9d97303,0x: Team Vesting,accounts,0x Ecosystem,0 Ether,70
0x926a74c5c36adf004c87399e65f75628b0f98d2c,0x: Token Registry,accounts,0x Ecosystem,0 Ether,159
0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x: Token Sale,accounts,0x Ecosystem,0 Ether,21665
0x8da0d80f5007ef1e431dd2127178d224e32c2ef4,0x: Token Transfer Proxy,accounts,0x Ecosystem,0 Ether,18
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,AmadeusRelay,accounts,0x Ecosystem,0.18352526 Ether,24
0xc898fbee1cc94c0ff077faa5449915a506eff384,Bamboo Relay,accounts,0x Ecosystem,0.11058127 Ether,12
0xe269e891a2ec8585a378882ffa531141205e92e9,DDEX,accounts,0x Ecosystem,1.26898088 Ether,199360
0x58a5959a6c528c5d5e03f7b9e5102350e24005f1,ERC dEX,accounts,0x Ecosystem,0 Ether,2
0x2cc42d1cd65af27cc999e41ef93d1a763dc821f8,IDT Exchange,accounts,0x Ecosystem,0.000001 Ether,86
0x4524baa98f9a3b9dec57caae7633936ef96bd708,LedgerDex,accounts,0x Ecosystem,0.21112875 Ether,20
0xc22d5b2951db72b44cfb8089bb8cd374a3c354ea,OpenRelay,accounts,0x Ecosystem,0.09996143 Ether,29
0xd2045edc40199019e221d71c0913343f7908d0d5,Paradex,accounts,0x Ecosystem,5.54535864 Ether,50624
0xa258b39954cef5cb142fd567a46cddb31a670124,Radar Relay,accounts,0x Ecosystem,0 Ether,3
0x55890b06f0877a01bb5349d93b202961f8e27a9b,Shark Relay,accounts,0x Ecosystem,0.009004 Ether,3
0x0681e844593a051e2882ec897ecd5444efe19ff2,Star Bit Ex,accounts,0x Ecosystem,0.01864092 Ether,111113
0x7219612be7036d1bfa933e16ca1246008f38c5fe,The Ocean,accounts,0x Ecosystem,3.246331 Ether,2146
0x5e150a33ffa97a8d22f59c77ae5487b089ef62e9,TokenJar,accounts,0x Ecosystem,0 Ether,0
0xae76c84c9262cdb9abc0c2c8888e62db8e22a0bf,Uniswap: ZRX,accounts,0x Ecosystem,219.608877 Ether,18586
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,accounts,0x Ecosystem,"2,428,651.76776234 Ether",616425
0x2956356cd2a2bf3202f771f50d3d14a367b48070,Wrapped Ether: Old Contract,accounts,0x Ecosystem,177.8704997 Ether,15811
0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX Token,accounts,0x Ecosystem,0 Ether,1089537
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, Maker (MKR),tokens,0x Ecosystem,"$598,911,759",22999
0xe41d2489571d322189246dafa5ebde1f4699f498, ZRX (ZRX),tokens,0x Ecosystem,"$235,430,766",144701
0x1985365e9f78359a9B6AD760e32412f4a445E862, Reputation (REP),tokens,0x Ecosystem,"$161,496,907",21467
0x960b236A07cf122663c4303350609A66A7B288C0, Aragon (ANT),tokens,0x Ecosystem,"$33,933,502",22681
0x8f8221afbb33998d8584a2b05749ba73c37a938a, Request (REQ),tokens,0x Ecosystem,"$11,875,426",35744
0xec67005c4e498ec7f55e092bd1d35cbc47c91892, Melon Token (MLN),tokens,0x Ecosystem,"$6,373,553",1989
0x0abdace70d3790235af448c88547603b945604ea, district0x (DNT),tokens,0x Ecosystem,"$4,367,486",27220
0x701c244b988a513c945973defa05de933b23fe1d, OpenANX (OAX),tokens,0x Ecosystem,"$3,235,822",5807
0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53, TIME (TIME),tokens,0x Ecosystem,"$1,184,386",4140
0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407, Compound 0x (cZRX),tokens,0x Ecosystem,$0,2054
0x1c74cff0376fb4031cd7492cd6db2d66c3f2c6b9, bZx Protocol Token (BZRX),tokens,0x Ecosystem,$0,4114
0x4de2573e27E648607B50e1Cfff921A33E4A34405, Lendroid Support Token (LST),tokens,0x Ecosystem,$0,18709
0xf5ed2dc77f0d1ea7f106ecbd1850e406adc41b51, The Ocean Token (OCEAN),tokens,0x Ecosystem,$0,11892
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, Wrapped Ether (WETH),tokens,0x Ecosystem,$0,58699
0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8,0xUniverse Token,accounts,0xUniverse,0 Ether,645057
0xe73480759efb6731d133b382ab8df02774e3a265,0xUniverse: Contract 1,accounts,0xUniverse,0 Ether,546
0xf91d60c576fc809bea7a08d45ee3d6d77fbf5ff7,0xUniverse: Contract 2,accounts,0xUniverse,0 Ether,57350
0xe658e6eb4b478da2cf36d9e3712ba0c1b33786a1,0xUniverse: Contract 3,accounts,0xUniverse,1.80427987 Ether,103316
0xa36a81e47d032cb5608175cf884d079ff7b2fb42,0xUniverse: Wallet 1,accounts,0xUniverse,0.49677846 Ether,7620
0x28fbe46d43ae10f0afe84e393368b891a3de98ea,0xUniverse: Wallet 2,accounts,0xUniverse,0.63875298 Ether,24
0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8, 0xUniverse (PLANET),tokens,0xUniverse,$0,10053
0xfe1a6056ee03235f30f7a48407a5673bbf25ed48,Aave: Deployer,accounts,Aave,1.35619835 Ether,13
