id,name,type,url,hostname,featured,path,category,subcategory,description,reporter,ip,severity,statusCode,status,updated,address
99acd0,xmrqrcode.com,scam,http://xmrqrcode.com,xmrqrcode.com,0,/*,Scamming,XMR,Fake XMR qr code generator,CryptoScamDB,,1,,,1591552144551,46iiFMnjcfpPFa244UEntnT6yy9nVu3Sa2PMkND2VuirC3ba7QGWR4LWoSjWqM69PB2GPSgx2Ls1BVtbRzGbjXUkEeeSfKj
48e4fe,hmqfoundation.com,scam,http://hmqfoundation.com,hmqfoundation.com,0,/*,Phishing,Humaniq,Fake HMQ crowdsale site,CryptoScamDB,,1,,,1591552144551,47v1cXsUdPN6vLeCwzCFAbAw8VjNEoMXSfLMpGkg76z9jPVM1wxxpmmjUvGDxnZQak4TqDM15MPbcPnhMcFu8TXAB6wugV1
9833a2,dexcompetition.site,scam,http://dexcompetition.site,dexcompetition.site,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,48RrK4L4z8hYq8iQS9qvTc1bJN99aSamhTuMrN9nCFVWRcroKb3EAawV14KtHmeqeuW4j5JLxUQfz4bG2veSYph445nnf8s
2e29ca,cryptohype.world,scam,http://cryptohype.world,cryptohype.world,0,/*,Scamming,Trust-Trading,Trust trading scam site,CryptoScamDB,,1,,,1591552144551,4AWa1ny75eoCcUVQWaWzL6Lp3WHZrFc3HVj9J8x1yautRYGkPLXUn72VP62HkF7oU4UqHd2nDLWhUWfx3F6cvekDRF5v5um
